Customer Name,Order Priority,Product Category,Product Sub-Category,Region,Ship Mode,COGS
Neola Schneider,Medium,Office Supplies,Rubber Bands,Central,Regular Air,2
Alice McCarthy,Low,Office Supplies,Paper,West,Regular Air,5.9
Olvera Toch,Medium,Office Supplies,Binders and Binder Accessories,Central,Regular Air,7.17
Eugene Moren,Medium,Technology,Office Machines,West,Delivery Truck,56.14
Duane Huffman,Not Specified,Office Supplies,Paper,Central,Regular Air,5.14
Sean O'Donnell,Not Specified,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.83
Carlos Daly,Not Specified,Office Supplies,Appliances,Central,Regular Air,5.94
Carlos Daly,Not Specified,Technology,Computer Peripherals,Central,Regular Air,3.61
Valerie Dominguez,Not Specified,Office Supplies,Appliances,South,Regular Air,3.5
David Kendrick,Low,Furniture,Office Furnishings,West,Regular Air,5.22
Edward Nazzal,Critical,Office Supplies,Binders and Binder Accessories,Central,Regular Air,12.98
Sanjit Jacobs,High,Technology,Computer Peripherals,East,Regular Air,6.5
Sanjit Jacobs,High,Furniture,Tables,East,Delivery Truck,54.12
Karen Carlisle,Not Specified,Office Supplies,Binders and Binder Accessories,East,Regular Air,2.99
Meg O'Connel,Not Specified,Office Supplies,Appliances,Central,Regular Air,0.99
Anthony O'Donnell,Low,Office Supplies,Appliances,Central,Express Air,3.99
Anthony O'Donnell,Low,Furniture,Office Furnishings,Central,Express Air,7.4
Luke Foster,High,Technology,Computer Peripherals,West,Regular Air,6.5
Luke Foster,High,Office Supplies,"Scissors, Rulers and Trimmers",West,Regular Air,2.56
Phillina Ober,Critical,Furniture,Office Furnishings,South,Express Air,58.66
Phillina Ober,Critical,Office Supplies,Paper,South,Regular Air,2
Claudia Miner,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,2.99
Jim Kriz,Medium,Furniture,Office Furnishings,East,Regular Air,6.85
Mike Vittorini,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,19.99
Mike Vittorini,Low,Office Supplies,Appliances,Central,Delivery Truck,60
Stefania Perrino,Medium,Office Supplies,Binders and Binder Accessories,East,Regular Air,1.49
Stefania Perrino,Medium,Office Supplies,Pens & Art Supplies,East,Regular Air,1.09
Jas O'Carroll,Low,Furniture,Tables,East,Delivery Truck,35.67
Maureen Gastineau,Medium,Technology,Office Machines,West,Regular Air,7.51
Maureen Gastineau,Medium,Office Supplies,Pens & Art Supplies,West,Regular Air,2.9
Maureen Gastineau,Medium,Furniture,Tables,West,Delivery Truck,32.48
Kelly Lampkin,Low,Office Supplies,Rubber Bands,Central,Regular Air,1.63
Neola Schneider,Medium,Furniture,Office Furnishings,Central,Regular Air,3.04
Allen Rosenblatt,Not Specified,Office Supplies,Envelopes,Central,Regular Air,1.39
Max Jones,Low,Office Supplies,Storage & Organization,East,Regular Air,19.99
Hallie Redmond,Medium,Furniture,Bookcases,West,Delivery Truck,46.74
Matt Collins,High,Technology,Computer Peripherals,Central,Regular Air,1.99
Matt Collins,High,Technology,Telephones and Communication,Central,Regular Air,5.99
Sanjit Jacobs,Medium,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.19
Anthony Witt,Critical,Technology,Computer Peripherals,Central,Regular Air,3.62
Jim Epp,Medium,Technology,Telephones and Communication,South,Regular Air,8.99
Sean O'Donnell,Critical,Office Supplies,Binders and Binder Accessories,Central,Regular Air,2.99
Sean O'Donnell,Critical,Office Supplies,Binders and Binder Accessories,Central,Regular Air,7.47
Harold Dahlen,Medium,Office Supplies,Binders and Binder Accessories,West,Regular Air,2.99
Muhammed Yedwab,Low,Technology,Computer Peripherals,South,Regular Air,6.5
Ed Braxton,Medium,Office Supplies,Paper,West,Regular Air,4.72
Stuart Calhoun,Not Specified,Furniture,Office Furnishings,East,Regular Air,13.99
Sylvia Foulston,Critical,Furniture,Bookcases,Central,Delivery Truck,26.22
Sylvia Foulston,Critical,Furniture,Tables,Central,Regular Air,69
Thea Hendricks,Critical,Office Supplies,Labels,East,Regular Air,0.5
Thea Hendricks,Critical,Office Supplies,Appliances,East,Express Air,3.5
Ionia McGrath,Low,Office Supplies,Paper,South,Regular Air,14.3
Guy Armstrong,Medium,Technology,Computer Peripherals,Central,Regular Air,4
Aaron Smayling,Critical,Office Supplies,Envelopes,East,Regular Air,4.99
Karl Brown,Medium,Furniture,Tables,East,Delivery Truck,60
Sung Shariari,Not Specified,Technology,Computer Peripherals,South,Regular Air,1.99
Craig Carroll,Not Specified,Office Supplies,Appliances,Central,Regular Air,6.75
Lela Donovan,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,6.19
Lela Donovan,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,19.99
Lela Donovan,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,5.41
Nicole Brennan,Medium,Office Supplies,Paper,West,Regular Air,5.57
Tanja Norvell,Critical,Office Supplies,Storage & Organization,South,Regular Air,6.72
Harold Dahlen,Low,Technology,Computer Peripherals,West,Regular Air,6.5
Emily Grady,Not Specified,Technology,Computer Peripherals,Central,Regular Air,1.99
Emily Grady,Not Specified,Office Supplies,Pens & Art Supplies,Central,Regular Air,1.34
Sally Matthias,Critical,Furniture,Bookcases,Central,Delivery Truck,54.74
Sally Matthias,Critical,Furniture,Tables,Central,Delivery Truck,69.64
Lena Creighton,Not Specified,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.74
Lena Creighton,Not Specified,Technology,Telephones and Communication,East,Regular Air,3.3
Mitch Willingham,High,Furniture,Office Furnishings,South,Regular Air,10.12
Sally Matthias,Critical,Office Supplies,Paper,Central,Regular Air,16.92
Justin Knight,Medium,Office Supplies,Paper,Central,Regular Air,4.39
Janet Lee,High,Office Supplies,Binders and Binder Accessories,South,Regular Air,5.63
Janet Lee,High,Office Supplies,Paper,South,Regular Air,7.44
Janet Lee,High,Office Supplies,Paper,South,Regular Air,5.57
Jim Radford,Low,Technology,Telephones and Communication,Central,Regular Air,5.26
Jim Radford,Low,Technology,Telephones and Communication,Central,Regular Air,8.99
Ritsa Hightower,Low,Furniture,Bookcases,Central,Delivery Truck,35.84
Theone Pippenger,High,Furniture,Bookcases,Central,Delivery Truck,26.22
Corey Catlett,Low,Technology,Telephones and Communication,East,Regular Air,2.5
Corey Catlett,Low,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.26
Corey Catlett,Low,Furniture,Bookcases,East,Delivery Truck,64.66
Frank Merwin,High,Office Supplies,Storage & Organization,West,Regular Air,11.37
Ed Jacobs,High,Furniture,Bookcases,East,Delivery Truck,35.02
Ed Jacobs,High,Technology,Telephones and Communication,West,Regular Air,4.99
Carlos Soltero,Not Specified,Office Supplies,Labels,Central,Express Air,0.5
Carlos Soltero,Not Specified,Office Supplies,Rubber Bands,Central,Regular Air,0.7
Carol Darley,Critical,Furniture,Tables,West,Delivery Truck,41.64
Stefanie Holloman,Low,Furniture,Office Furnishings,South,Regular Air,8.99
Noel Staavos,Medium,Technology,Copiers and Fax,East,Express Air,24.49
Noel Staavos,Medium,Technology,Office Machines,East,Delivery Truck,14.7
Noel Staavos,Medium,Office Supplies,Paper,East,Regular Air,8.74
Noel Staavos,Medium,Office Supplies,Storage & Organization,East,Regular Air,4.96
Noel Staavos,Medium,Office Supplies,Paper,East,Regular Air,8.74
Shahid Shariari,Medium,Office Supplies,Binders and Binder Accessories,Central,Regular Air,19.99
Shahid Shariari,Medium,Office Supplies,Pens & Art Supplies,Central,Regular Air,5.81
Barry Gonzalez,High,Technology,Telephones and Communication,East,Regular Air,8.99
Maribeth Schnelling,Medium,Technology,Computer Peripherals,South,Regular Air,1.99
Harold Ryan,Medium,Technology,Computer Peripherals,East,Regular Air,4
Grant Thornton,Not Specified,Office Supplies,Binders and Binder Accessories,East,Regular Air,6.05
Ted Trevino,Not Specified,Technology,Telephones and Communication,Central,Regular Air,4.9
Carl Ludwig,Low,Office Supplies,Binders and Binder Accessories,Central,Regular Air,13.18
Carl Ludwig,Low,Technology,Computer Peripherals,Central,Regular Air,4.93
Don Miller,High,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.7
Linda Southworth,Medium,Office Supplies,Appliances,South,Regular Air,3.99
Linda Southworth,Medium,Office Supplies,Storage & Organization,South,Regular Air,6.31
Lena Radford,High,Furniture,Chairs & Chairmats,Central,Delivery Truck,32.41
Dave Poirier,Medium,Office Supplies,Paper,West,Regular Air,0.8
Dave Poirier,Medium,Technology,Telephones and Communication,West,Regular Air,5.26
Liz MacKendrick,Medium,Furniture,Office Furnishings,Central,Regular Air,6.22
Liz MacKendrick,Medium,Office Supplies,Paper,Central,Regular Air,7.44
Rick Wilson,Low,Furniture,Office Furnishings,South,Regular Air,4.98
Aleksandra Gannaway,Not Specified,Office Supplies,Storage & Organization,West,Express Air,35
Aleksandra Gannaway,Not Specified,Technology,Computer Peripherals,West,Regular Air,19.99
Aleksandra Gannaway,Not Specified,Office Supplies,Pens & Art Supplies,West,Regular Air,8.99
Sean Christensen,Not Specified,Office Supplies,Paper,Central,Regular Air,6.18
John Lucas,High,Technology,Telephones and Communication,East,Regular Air,1.1
Nona Balk,Critical,Office Supplies,Binders and Binder Accessories,South,Express Air,19.99
Art Ferguson,Critical,Office Supplies,Envelopes,Central,Regular Air,5.25
Ed Ludwig,High,Technology,Computer Peripherals,Central,Regular Air,1.99
Ed Ludwig,High,Furniture,Office Furnishings,Central,Regular Air,14.45
Annie Cyprus,High,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.93
Carl Ludwig,High,Technology,Copiers and Fax,Central,Delivery Truck,49
Lisa Hazard,Not Specified,Technology,Computer Peripherals,West,Regular Air,1.99
Lisa Hazard,Not Specified,Office Supplies,Envelopes,West,Regular Air,2.5
Lisa Hazard,Not Specified,Technology,Telephones and Communication,West,Express Air,1.1
Hallie Redmond,Critical,Office Supplies,Paper,West,Regular Air,4.82
Roger Barcio,High,Office Supplies,Rubber Bands,West,Regular Air,0.7
Carlos Soltero,Low,Office Supplies,Storage & Organization,Central,Regular Air,4.51
Joni Blumstein,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,5.36
Deanra Eno,High,Office Supplies,Binders and Binder Accessories,South,Regular Air,5.04
Trudy Schmidt,Not Specified,Furniture,Chairs & Chairmats,Central,Delivery Truck,30
Trudy Schmidt,Not Specified,Office Supplies,Paper,Central,Regular Air,6.86
Becky Pak,Critical,Furniture,Chairs & Chairmats,West,Regular Air,24.49
Becky Pak,Critical,Furniture,Office Furnishings,West,Regular Air,5.29
Aaron Smayling,Medium,Office Supplies,Pens & Art Supplies,East,Regular Air,0.7
Susan Vittorini,Not Specified,Office Supplies,Paper,Central,Regular Air,4.75
Tom Stivers,High,Office Supplies,Binders and Binder Accessories,South,Regular Air,1.49
Ken Brennan,Critical,Office Supplies,Storage & Organization,East,Delivery Truck,99
Alex Avila,Not Specified,Office Supplies,Appliances,Central,Regular Air,49
Alex Avila,Not Specified,Technology,Telephones and Communication,Central,Regular Air,8.08
Alex Avila,Not Specified,Technology,Telephones and Communication,Central,Regular Air,8.8
Roy Phan,High,Office Supplies,Pens & Art Supplies,West,Regular Air,1.99
Sung Pak,Not Specified,Furniture,Chairs & Chairmats,West,Delivery Truck,74.35
Kean Thornton,Not Specified,Furniture,Tables,West,Delivery Truck,45.51
Kean Thornton,Not Specified,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.42
Jeremy Ellison,Low,Furniture,Office Furnishings,Central,Regular Air,5.81
Joe Kamberova,Low,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.26
Joe Kamberova,Low,Office Supplies,Paper,East,Regular Air,5.4
Mitch Willingham,Medium,Office Supplies,Paper,South,Regular Air,7.91
Benjamin Venier,Medium,Office Supplies,Appliances,East,Delivery Truck,91.05
Brian Moss,Critical,Technology,Computer Peripherals,South,Regular Air,1.99
Brian Moss,Critical,Furniture,Chairs & Chairmats,Central,Regular Air,24.49
Alejandro Grove,High,Furniture,Tables,East,Delivery Truck,54.12
Sam Zeldin,Medium,Office Supplies,Binders and Binder Accessories,East,Regular Air,2.99
Katherine Murray,Not Specified,Technology,Office Machines,East,Delivery Truck,14.7
Katherine Murray,Not Specified,Office Supplies,Paper,East,Regular Air,5.67
Paul Knutson,Not Specified,Office Supplies,Storage & Organization,East,Regular Air,4.51
Barry Franz,Not Specified,Furniture,Office Furnishings,East,Regular Air,24.49
Barry Franz,Not Specified,Technology,Office Machines,East,Delivery Truck,12.06
Sandra Glassco,Medium,Technology,Computer Peripherals,Central,Regular Air,5.14
Alan Hwang,Critical,Office Supplies,Appliances,Central,Regular Air,5.13
Sam Craven,Low,Technology,Computer Peripherals,South,Regular Air,12.14
Sam Craven,Low,Office Supplies,Paper,South,Regular Air,5.49
Deanra Eno,Critical,Office Supplies,Appliances,South,Delivery Truck,42.52
Deanra Eno,Critical,Office Supplies,Appliances,South,Express Air,4.5
James Galang,Not Specified,Office Supplies,Labels,South,Regular Air,0.99
James Galang,Not Specified,Office Supplies,Paper,South,Regular Air,11.54
Rob Lucas,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.34
Todd Boyes,Critical,Furniture,Chairs & Chairmats,Central,Delivery Truck,126
Todd Boyes,Critical,Technology,Telephones and Communication,Central,Regular Air,4.2
Katrina Willman,Not Specified,Office Supplies,Appliances,South,Regular Air,19.99
Katrina Willman,Not Specified,Furniture,Office Furnishings,South,Regular Air,7.58
Nora Paige,Critical,Office Supplies,Envelopes,West,Regular Air,8.29
Andy Reiter,High,Office Supplies,Paper,East,Regular Air,17.48
Brian Moss,Critical,Office Supplies,Paper,South,Express Air,4.86
Brian Moss,Critical,Technology,Telephones and Communication,South,Regular Air,8.99
Brian Moss,Critical,Furniture,Chairs & Chairmats,South,Regular Air,12.65
Jonathan Doherty,Medium,Technology,Telephones and Communication,South,Regular Air,4.99
Todd Boyes,Not Specified,Technology,Telephones and Communication,Central,Regular Air,4.99
Todd Boyes,Not Specified,Office Supplies,Labels,Central,Regular Air,0.5
Hallie Redmond,Not Specified,Office Supplies,Appliances,Central,Express Air,5.33
Lori Olson,Low,Furniture,Office Furnishings,South,Regular Air,4.93
Vivian Mathis,Medium,Furniture,Tables,East,Delivery Truck,29.21
Kelly Lampkin,Medium,Office Supplies,Labels,Central,Regular Air,0.5
Kelly Lampkin,Medium,Office Supplies,Rubber Bands,Central,Express Air,0.76
Jack O'Briant,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,7.19
Jack O'Briant,Not Specified,Technology,Copiers and Fax,Central,Regular Air,24.49
Pete Armstrong,High,Furniture,Chairs & Chairmats,Central,Delivery Truck,58.95
Pete Armstrong,High,Office Supplies,Paper,Central,Regular Air,0.88
Pete Armstrong,High,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.94
Pete Armstrong,High,Technology,Telephones and Communication,Central,Regular Air,3
Vivian Mathis,High,Technology,Computer Peripherals,East,Regular Air,12.14
Vivian Mathis,High,Office Supplies,Paper,East,Regular Air,7.15
Vivian Mathis,High,Office Supplies,Pens & Art Supplies,East,Regular Air,4.17
Sam Zeldin,Not Specified,Office Supplies,Paper,East,Regular Air,8.09
Sarah Brown,Not Specified,Furniture,Office Furnishings,South,Regular Air,5.16
Sarah Brown,Not Specified,Office Supplies,Pens & Art Supplies,South,Regular Air,6.17
Sarah Brown,Critical,Office Supplies,Binders and Binder Accessories,South,Regular Air,2.99
Elpida Rittenbach,Critical,Office Supplies,Binders and Binder Accessories,East,Express Air,1.49
Clay Cheatham,Not Specified,Technology,Office Machines,West,Delivery Truck,8.73
Grant Donatelli,High,Furniture,Tables,East,Delivery Truck,52.2
Grant Carroll,Not Specified,Office Supplies,Pens & Art Supplies,Central,Regular Air,1.17
Don Miller,Not Specified,Technology,Computer Peripherals,Central,Regular Air,4.38
Don Miller,Not Specified,Office Supplies,Paper,Central,Regular Air,19.99
Rob Haberlin,Medium,Furniture,Chairs & Chairmats,Central,Delivery Truck,30
Rob Haberlin,Medium,Office Supplies,Storage & Organization,Central,Regular Air,5.42
Maribeth Dona,High,Furniture,Bookcases,West,Delivery Truck,57.38
Maribeth Dona,High,Office Supplies,Paper,West,Regular Air,5.66
Maribeth Dona,High,Office Supplies,Storage & Organization,East,Regular Air,19.99
Liz Thompson,High,Office Supplies,Binders and Binder Accessories,Central,Regular Air,6.28
Carol Adams,Low,Office Supplies,Binders and Binder Accessories,East,Regular Air,1.49
Eric Barreto,Low,Office Supplies,Binders and Binder Accessories,West,Regular Air,1.49
Fred Harton,High,Furniture,Office Furnishings,West,Regular Air,18.98
Jennifer Braxton,Low,Office Supplies,Storage & Organization,Central,Regular Air,19.99
Sara Luxemburg,Low,Office Supplies,Paper,West,Regular Air,4.96
Sally Hughsby,Critical,Office Supplies,Appliances,East,Regular Air,13.32
Sanjit Jacobs,Critical,Furniture,Office Furnishings,East,Regular Air,13.99
Sanjit Jacobs,Critical,Office Supplies,Paper,East,Regular Air,2.87
Craig Carroll,Not Specified,Office Supplies,Binders and Binder Accessories,Central,Regular Air,6.19
Vivek Gonzalez,Not Specified,Office Supplies,Binders and Binder Accessories,East,Express Air,5.44
Cari Sayre,Not Specified,Technology,Office Machines,West,Delivery Truck,14.7
Adam Hart,Not Specified,Office Supplies,Paper,West,Express Air,5.47
Andrew Allen,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,6.46
Andrew Allen,High,Technology,Telephones and Communication,West,Regular Air,0.99
Rob Haberlin,Critical,Technology,Computer Peripherals,Central,Regular Air,1.99
Quincy Jones,Critical,Furniture,Office Furnishings,South,Regular Air,5.81
Caroline Jumper,Not Specified,Technology,Office Machines,East,Delivery Truck,17.85
Michael Moore,Critical,Technology,Telephones and Communication,South,Regular Air,5.26
Bobby Elias,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,6.27
Maria Zettner,Medium,Office Supplies,Binders and Binder Accessories,West,Regular Air,5.34
Maria Zettner,Medium,Office Supplies,Labels,West,Regular Air,0.5
Maria Zettner,Medium,Technology,Telephones and Communication,West,Regular Air,4.81
